Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
2005-03-30,HOU,100,POR,84,N,hou-vs-por-0020401062,regular,1,3
2012-03-13,LAL,116,MEM,2111,Y,lal-vs-mem-0021100621,regular,1,1
2012-05-16,LAL,75,OKC,77,N,lal-vs-okc-0041100232,playoffs,1,5
2013-12-31,TOR,85,CHI,79,N,tor-vs-chi-0021300463,regular,1,4
2003-11-01,LAL,103,PHX,99,N,lal-vs-phx-0020300037,regular,1,4
2015-11-25,NOP,120,PHX,114,N,nop-vs-phx-0021500225,regular,1,3
2004-02-16,No Games,-,No Games,-,-,-,-,2,3
2021-01-16,ORL,115,BKN,122,N,orl-vs-bkn-0022000190,regular,1,0
2014-12-05,SAS,107,MEM,101,N,sas-vs-mem-0021400282,regular,1,5
2014-02-07,DEN,90,NYK,117,N,den-vs-nyk-0021300745,regular,1,6
2012-11-23,OKC,100,BOS,108,N,okc-vs-bos-0021200173,regular,1,9
2001-03-19,PHI,89,SEA,93,N,phi-vs-sea-0020000967,regular,1,4
2000-02-06,HOU,105,DET,109,N,hou-vs-det-0029900672,regular,1,5
