Date,Detail Path,Action Number,Clock,Period,Team ID,Team Tricode,Person Id,Player Name,Player Init,xLegacy,yLegacy,Shot Distance,Shot Result,Field Goal,Score Home,Score Away,Points Total,Location,Description,Action Type,Sub-Type,Video Available,Action Id
2022-12-05,phi-vs-hou-0022200356,756.0,PT00M02.90S,5.0,1610612745.0,HOU,1630578.0,Sengun,A. Sengun,0.0,0.0,0.0,,0.0,,,0.0,h,Sengun REBOUND (Off:5 Def:2),Rebound,Unknown,1.0,545.0
2022-12-04,bos-vs-bkn-0022200346,364.0,PT05M37.00S,3.0,0.0,,1610612738.0,,,0.0,0.0,0.0,,0.0,,,0.0,v,Celtics Rebound,Rebound,Unknown,0.0,284.0
2022-11-25,phi-vs-orl-0022200273,128.0,PT01M11.00S,1.0,1610612753.0,ORL,1629021.0,Wagner,M. Wagner,-225.0,20.0,0.0,Made,1.0,27.0,21.0,48.0,h,M. Wagner 3PT Running Jump Shot (3 PTS) (Houstan 1 AST),Made Shot,Running Jump Shot,1.0,93.0
2022-12-26,ind-vs-nop-0022200502,71.0,PT06M16.00S,1.0,1610612740.0,NOP,202685.0,Valanciunas,J. Valanciunas,164.0,196.0,26.0,Missed,1.0,,,0.0,h,MISS Valanciunas 26' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,55.0
2022-10-12,den-vs-lac-0012200059,11.0,PT11M10.00S,1.0,1610612746.0,LAC,202331.0,George,P. George,0.0,0.0,0.0,,0.0,,,0.0,h,George STEAL (1 STL),,,1.0,8.0
2023-01-13,orl-vs-uta-0022200638,327.0,PT01M52.00S,2.0,1610612753.0,ORL,1628976.0,Carter Jr.,W. Carter Jr.,0.0,0.0,0.0,,0.0,,,0.0,v,Carter Jr. S.FOUL (P1.PN) (M.Smith),Foul,Shooting,1.0,244.0
2022-10-14,lal-vs-sac-0012200070,347.0,PT01M48.00S,2.0,1610612758.0,SAC,1628370.0,Monk,M. Monk,0.0,0.0,0.0,,0.0,128.0,81.0,209.0,h,Monk Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,1.0,248.0
2022-12-18,cha-vs-den-0022200450,537.0,PT10M55.00S,4.0,1610612743.0,DEN,1630538.0,Hyland,B. Hyland,-81.0,253.0,27.0,Missed,1.0,,,0.0,h,MISS Hyland 27' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,400.0
2023-03-05,nyk-vs-bos-0022200969,342.0,PT09M21.00S,3.0,1610612752.0,NYK,1629011.0,Robinson,M. Robinson,0.0,0.0,0.0,,0.0,,,0.0,v,Robinson REBOUND (Off:5 Def:2),Rebound,Unknown,1.0,265.0
2023-03-06,nop-vs-sac-0022200976,145.0,PT00M01.30S,1.0,1610612740.0,NOP,1630230.0,Marshall,N. Marshall,0.0,0.0,0.0,,0.0,,,0.0,v,Marshall REBOUND (Off:0 Def:1),Rebound,Unknown,1.0,102.0
2022-11-28,orl-vs-bkn-0022200302,318.0,PT00M33.90S,2.0,1610612751.0,BKN,203925.0,Harris,J. Harris,0.0,0.0,0.0,,0.0,52.0,47.0,99.0,h,Harris Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,1.0,241.0
2023-01-27,cle-vs-okc-0022200739,94.0,PT05M02.00S,1.0,1610612760.0,OKC,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,0.0,0.0,,0.0,16.0,15.0,31.0,h,Gilgeous-Alexander Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,1.0,68.0
2022-12-16,gsw-vs-phi-0022200432,416.0,PT03M17.00S,3.0,1610612755.0,PHI,203954.0,Embiid,J. Embiid,88.0,7.0,9.0,Missed,1.0,,,0.0,h,MISS Embiid 9' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1.0,313.0
2022-11-11,sac-vs-lal-0022200183,500.0,PT02M10.00S,3.0,1610612758.0,SAC,1626168.0,Lyles,T. Lyles,-169.0,203.0,26.0,Missed,1.0,,,0.0,v,MISS Lyles 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1.0,374.0
2022-10-14,bkn-vs-min-0012200066,84.0,PT05M44.00S,1.0,1610612751.0,BKN,1629651.0,Claxton,N. Claxton,0.0,0.0,0.0,,0.0,,,0.0,v,SUB: Morris FOR Claxton,Substitution,,0.0,64.0
2023-02-24,mia-vs-mil-0022200897,445.0,PT03M38.00S,3.0,1610612748.0,MIA,203469.0,Zeller,C. Zeller,-4.0,9.0,1.0,Made,1.0,92.0,71.0,163.0,v,Zeller 1' Dunk (6 PTS) (Strus 3 AST),Made Shot,Dunk Shot,1.0,331.0
2022-12-14,atl-vs-orl-0022200416,630.0,PT03M38.00S,4.0,1610612753.0,ORL,1628365.0,Fultz,M. Fultz,2.0,85.0,9.0,Made,1.0,126.0,110.0,236.0,h,Fultz 9' Floating Jump Shot (14 PTS),Made Shot,Floating Jump shot,1.0,468.0
2023-01-25,den-vs-mil-0022200723,17.0,PT10M15.00S,1.0,1610612743.0,DEN,1630192.0,Nnaji,Z. Nnaji,99.0,256.0,27.0,Missed,1.0,,,0.0,v,MISS Nnaji 27' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,12.0
2023-01-05,mem-vs-orl-0022200576,10.0,PT11M04.00S,1.0,1610612753.0,ORL,203914.0,Harris,G. Harris,-200.0,168.0,26.0,Missed,1.0,,,0.0,h,MISS Harris 26' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,6.0
